Name,Identity,Status,Gender,Alignment,Race,Height,Weight,EyeColor,HairColor,SkinColor,Publisher,Year,Appearances,FirstAppearance,AdditionalData
Spider-Man,Secret,Living,Male,Good,Human,178,74,Hazel,Brown,,Marvel,1962,4043,8/1/62,Peter Parker
Spider-Man,Secret,Living,Male,Good,Human,178,77,Hazel,Brown,,Marvel,1962,4043,8/1/62,Peter Parker
Spider-Man,Secret,Living,Male,Good,Human,157,56,Hazel,Brown,,Marvel,1962,4043,8/1/62,Peter Parker
Captain America,Public,Living,Male,Good,Human,188,108,Blue,White,,Marvel,1941,3360,3/1/41,Steven Rogers
Captain America,Secret,Living,Male,Bad,Human,188,108,Blue,Blond,,Marvel,1966,1,10/1/66,"Impersonator, Sons of the Serpent"
Captain America,Secret,Living,Male,Bad,Human,188,108,Blue,Blond,,Marvel,1998,1,10/1/98,Taskmaster Robot
Wolverine,Public,Living,Male,Neutral,Mutant,160,135,Blue,Black,,Marvel,1974,3061,10/1/74,"James ""Logan"" Howlett"
Wolverine,Secret,Living,Male,Bad,Mutant,160,135,Blue,Black,,Marvel,2012,1,12/1/12,Hatchitech
Iron Man,Public,Living,Male,Good,Human,198,191,Blue,Black,,Marvel,1963,2961,3/1/63,"Anthony ""Tony"" Stark"
Iron Man,Public,Deceased,Agender,Neutral,Human,198,191,White,Bald,,Marvel,2000,4,3/1/00,Sentient Armor
Iron Man,Secret,Living,Agender,Bad,Human,198,191,Blue,Black,,Marvel,1998,1,10/1/98,Taskmaster Robot
Thor,No Dual,Living,Male,Good,Asgardian,198,288,Blue,Blond,,Marvel,1950,2258,11/1/50,Thor Odinson
Thor,Secret,Living,Male,Bad,Asgardian,198,288,Blue,Blond,,Marvel,1998,1,10/1/98,Taskmaster Robot
Thor,,Living,Male,Bad,Asgardian,198,288,Blue,Blond,,Marvel,1954,,12/1/54,Jovian
Thor,,Living,Male,Good,Asgardian,198,288,Blue,Red,,DC,1956,14,10/1/56,
Benjamin Grimm,Public,Living,Male,Good,,,,Blue,Bald,,Marvel,1961,2255,11/1/61,
Benjamin Grimm,Public,Living,Male,Good,,,,Blue,Bald,,Marvel,1996,13,11/1/96,Heroes Reborn
Benjamin Grimm,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,1962,8,1/1/62,"Skrull, Cow"
Benjamin Grimm,,Living,Male,Bad,,,,,,,Marvel,1992,4,6/1/92,Doppelganger
Benjamin Grimm,Public,Living,Male,Good,,,,Blue,Bald,,Marvel,2007,4,2/1/07,Onslaught Reborn
Benjamin Grimm,Public,Living,Male,Good,,,,Blue,Brown,,Marvel,1973,1,8/1/73,Counter-Earth
Benjamin Grimm,Secret,Living,Male,Bad,,,,Green,Bald,,Marvel,2008,,6/1/08,Skrull
Reed Richards,Public,Living,Male,Good,,,,Brown,Brown,,Marvel,1961,2072,11/1/61,
Reed Richards,,Living,Male,Neutral,,,,Brown,Brown,,Marvel,1972,20,5/1/72,Counter-Earth
Reed Richards,Public,Living,Male,Good,,,,,Brown,,Marvel,1996,13,11/1/96,Heroes Reborn
Reed Richards,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,1962,8,1/1/62,"Skrull, Cow"
Reed Richards,,Living,Male,Bad,,,,,Brown,,Marvel,1992,6,6/1/92,Doppelganger
Reed Richards,Public,Living,Male,Good,,,,Blue,Brown,,Marvel,2007,4,2/1/07,Onslaught Reborn
Reed Richards,Secret,Living,Male,Bad,,,,Green,Bald,,Marvel,2008,1,7/1/08,Skrull
Hulk,Public,Living,Male,Good,Human / radiation,244,630,Brown,Brown,Green,Marvel,1962,2017,5/1/62,Robert Bruce Banner
Hulk,,Living,Male,Bad,Human / radiation,244,630,Green,Green,Green,Marvel,1979,1,8/1/79,Arcade Robot
Hulk,Secret,Living,Male,Bad,Human / radiation,244,630,Green,Green,Green,Marvel,1998,1,10/1/98,Taskmaster Robot
Hulk,Public,Living,Male,Good,Human / radiation,244,630,Green,Blond,Green,Marvel,1990,,3/1/90,Wrestler
Scott Summers,Public,Living,Male,Neutral,,,,Brown,Brown,,Marvel,1963,1955,9/1/63,
Scott Summers,,Living,Male,Bad,,,,,,,Marvel,1992,3,6/1/92,Doppelganger
Jonathan Storm,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1961,1934,11/1/61,
Jonathan Storm,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1996,13,11/1/96,Heroes Reborn
Jonathan Storm,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,1962,8,1/1/62,"Skrull, Cow"
Jonathan Storm,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1973,1,6/1/73,Counter-Earth
Jonathan Storm,,Living,Male,Bad,,,,,,,Marvel,1992,1,6/1/92,Doppelganger
Henry McCoy,Public,Living,Male,Good,,,,Blue,Blue,,Marvel,1963,1825,9/1/63,
Henry McCoy,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,2008,8,6/1/08,Skrull
Henry McCoy,Secret,Deceased,Male,Bad,,,,Blue,Blue,,Marvel,1993,2,12/1/93,X-Beast
Susan Storm,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1961,1713,11/1/61,
Susan Storm,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1996,13,11/1/96,Heroes Reborn
Susan Storm,Secret,Deceased,Male,Bad,,,,Green,Blond,,Marvel,2008,5,6/1/08,"Retro, Skrull"
Susan Storm,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,2007,4,2/1/07,Onslaught Reborn
Susan Storm,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1973,1,6/1/73,Counter-Earth
Namor McKenzie,No Dual,Living,Male,Neutral,,,,Green,Black,,Marvel,,1528,,
Namor McKenzie,Public,Living,Male,Neutral,,,,,Black,,Marvel,1996,3,12/1/96,Heroes Reborn
Namor McKenzie,Public,Living,Male,Good,,,,Green,Black,,Marvel,2007,3,3/1/07,Onslaught Reborn
Namor McKenzie,Secret,Living,Male,Neutral,,,,Blue,Black,,Marvel,2003,1,12/1/03,N2
Ororo Munroe,Public,Living,Female,Good,,,,Blue,White,,Marvel,1975,1512,5/1/75,
Ororo Munroe,Secret,Deceased,Female,Bad,,,,Blue,Black,,Marvel,,2,,Revenant
Ororo Munroe,,Living,Female,Bad,,,,,,,Marvel,1992,1,9/1/92,Doppelganger
Clinton Barton,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1964,1394,9/1/64,
Clinton Barton,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,2008,6,6/1/08,Skrull
Matthew Murdock,Public,Living,Male,Good,,,,Blue,Red,,Marvel,1964,1338,4/1/64,
Matthew Murdock,,Deceased,Male,Bad,,,,Black,,,Marvel,1992,10,6/1/92,Hellspawn
Matthew Murdock,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,2008,1,5/1/08,Skrull
Stephen Strange,Public,Living,Male,Good,,,,Grey,Black,,Marvel,1963,1307,7/1/63,
Stephen Strange,,Living,Male,Bad,,,,Grey,Black,,Marvel,1992,4,10/1/92,Counter-Earth
Mary Jane Watson,No Dual,Living,Female,Good,,,,Green,Red,,Marvel,1965,1304,6/1/65,
John Jonah Jameson,No Dual,Living,Male,Neutral,,,,Blue,Black,,Marvel,1963,1266,3/1/63,
Robert Drake,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1963,1265,9/1/63,
Henry Pym,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1962,1237,1/1/62,
Henry Pym,Secret,Living,Male,Bad,,,,Green,Bald,,Marvel,2008,3,8/1/08,Giant-Man Skrull
Henry Pym,Secret,Living,Male,Good,,,,,,,Marvel,2007,2,3/1/07,Onslaught Reborn
Charles Xavier,Public,Deceased,Male,Good,,,,Blue,Bald,,Marvel,1963,1233,9/1/63,
Charles Xavier,Secret,Living,Male,Bad,,,,,Bald,,Marvel,2013,17,1/1/13,Legion Personality
Charles Xavier,,Living,Male,Bad,,,,,,,Marvel,1977,5,8/1/77,Entity
Charles Xavier,,Living,Male,Bad,,,,,,,Marvel,1990,5,10/1/90,War Skrull
Charles Xavier,Secret,Living,Male,Bad,,,,,Bald,,Marvel,1976,,6/1/76,X-Sentinel
Charles Xavier,,Living,Male,Bad,,,,,,,Marvel,1990,,6/1/90,Masque's Doppelganger
Charles Xavier,,Living,Male,,,,,,,,Marvel,1992,,6/1/92,Infinity War Doppelganger
Warren Worthington III,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1963,1230,9/1/63,
Warren Worthington III,Secret,Living,Female,Bad,,,,,Blond,,Marvel,1990,,6/1/90,Masque's Doppelganger
Piotr Rasputin,Secret,Living,Male,Good,,,,Blue,Black,,Marvel,1975,1162,5/1/75,
Piotr Rasputin,,Living,Male,Bad,,,,,Black,,Marvel,1992,3,6/1/92,Doppelganger
Wanda Maximoff,Public,Living,Female,Good,,,,Green,Brown,,Marvel,1964,1161,3/1/64,
Wanda Maximoff,Secret,Living,Female,Bad,,,,Green,Bald,,Marvel,2008,3,6/1/08,Skrull
Wanda Maximoff,Secret,Deceased,Female,Bad,,,,Blue,Auburn,,Marvel,2012,3,1/1/12,Clone
Wanda Maximoff,Public,Living,Female,Neutral,,,,,Brown,,Marvel,1996,1,11/1/96,Heroes Reborn
Nicholas Fury,No Dual,Living,Male,Neutral,,,,Brown,Brown,,Marvel,1963,1137,5/1/63,
Nicholas Fury,Secret,Deceased,Male,Bad,,,,Brown,Brown,,Marvel,1977,24,4/1/77,LMD
Nicholas Fury,Secret,Living,Male,Bad,,,,Blue,Brown,,Marvel,1996,22,11/1/96,"LMD, Heroes Reborn"
Nicholas Fury,,Living,Male,Good,,,,One Eye,,,Marvel,1996,6,9/1/96,Heroes Reborn
Janet van Dyne,Public,Living,Female,Good,,,,Blue,Auburn,,Marvel,1963,1120,6/1/63,
Jean Grey,Public,Deceased,Female,Good,Mutant,168,52,Green,Red,,Marvel,1963,1107,9/1/63,
Jean Grey,Secret,Deceased,Female,Bad,Mutant,168,52,Green,Red,,Marvel,2008,6,6/1/08,Skrull
Jean Grey,Secret,Deceased,Female,Bad,Mutant,168,52,Green,Red,,Marvel,1979,1,9/1/79,Lady Grey
Jean Grey,Secret,Living,Female,Bad,Mutant,168,52,Green,Red,,Marvel,1992,1,9/1/92,Doppelganger
Natalia Romanova,Public,Living,Female,Good,,,,Green,Red,,Marvel,1964,1050,4/1/64,
Natalia Romanova,,Deceased,Female,Bad,,,,Green,Auburn,,Marvel,2010,2,11/1/10,Dr Bong Clone
Kurt Wagner,Secret,Living,Male,Good,,,,Yellow,Blue,,Marvel,1975,1047,5/1/75,
Vision,Secret,Living,Male,Good,Android,191,135,Gold,Bald,Red,Marvel,1968,1007,10/1/68,
Vision,Public,Deceased,Male,Good,Android,191,135,Gold,Bald,Red,Marvel,2005,119,8/1/05,Jonas
Vision,Secret,Deceased,Male,Bad,Android,191,135,Green,Bald,Red,Marvel,2008,6,6/1/08,Skrull
Vision,Secret,Living,Male,Bad,Android,191,135,Red,Bald,Red,Marvel,1992,3,6/1/92,Doppelganger
Vision,Secret,Living,Agender,Bad,Android,191,135,Gold,Bald,Red,Marvel,1998,1,10/1/98,Taskmaster Robot
Vision,Public,Living,Male,Good,Android,191,135,White,Bald,Red,Marvel,2007,1,9/1/07,Onslaught Reborn
May Reilly,No Dual,Living,Female,Good,,,,Blue,Grey,,Marvel,1962,1000,8/1/62,
May Reilly,Public,Deceased,Female,Bad,,,,Blue,Grey,,Marvel,1994,,8/1/94,Impostor
Katherine Pryde,Secret,Living,Female,Good,,,,Hazel,Brown,,Marvel,1980,886,1/1/80,
Carol Danvers,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1968,881,3/1/68,
Carol Danvers,Secret,Deceased,Female,Bad,,,,Green,Blond,,Marvel,2008,5,6/1/08,"Retro, Skrull"
Carol Danvers,Secret,Deceased,Female,Bad,,,,Green,Blond,,Marvel,2008,3,5/1/08,"Modern, Skrull"
Jennifer Walters,Public,Living,Female,Good,,,,Green,Brown,,Marvel,1980,881,2/1/80,
Jennifer Walters,Public,Living,Female,Good,,,,Green,Brown,,Marvel,1996,5,11/1/96,Heroes Reborn
Jennifer Walters,Secret,Living,Female,Bad,,,,,Green,,Marvel,1998,1,5/1/98,Amazon
Emma Frost,Public,Living,Female,Neutral,,178,65,Blue,Brown,,Marvel,1980,880,1/1/80,
Emma Frost,Secret,Deceased,Female,Bad,,178,65,Green,Blond,,Marvel,2008,6,6/1/08,Skrull
Frank Castle,Public,Living,Male,Neutral,,,,Blue,Black,,Marvel,1974,878,2/1/74,
Luke Cage,No Dual,Living,Male,Good,Human,198,191,Brown,Black,,Marvel,1972,856,6/1/72,
